id,name,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,name_first,name_last,bio_birthday,bio_gender,id_house_history,name_middle,name_nickname,id_ballotpedia,name_suffix,id_bioguide_previous,id_house_history_alternate,other_names,id_thomas,id_cspan,id_votesmart,id_lis,name_official_full,id_opensecrets,id_fec,id_maplight,leadership_roles,family
A000332,Richard Atkinson,A000332,400981,286,Richard Merrill Atkinson,Q2150207,kg:/m/02rkzzr,Richard,Atkinson,1894-02-06,M,8718,Merrill,,,,,,,,,,,,,,,,
A000334,John Atwater,A000334,400983,288,John Wilbur Atwater,Q1118694,kg:/m/04wkds,John,Atwater,1840-12-27,M,8720,Wilbur,,,,,,,,,,,,,,,,
A000335,David Atwood,A000335,400984,289,David Atwood,Q1173603,kg:/m/02r4ff3,David,Atwood,1815-12-15,M,8722,,,,,,,,,,,,,,,,,
A000336,Harrison Atwood,A000336,400985,290,Harrison Henry Atwood,Q1586269,kg:/m/02rhh51,Harrison,Atwood,1863-08-26,M,8724,Henry,,,,,,,,,,,,,,,,
A000337,Les AuCoin,A000337,400987,14201,Les AuCoin,Q1798732,kg:/m/08g68c,Les,AuCoin,21/10/1942,M,8726,,,,,,,,36,,,,,,,,,
A000338,Oscar Auf Der Heide,A000338,400988,292,Oscar L. Auf der Heide,Q2032804,kg:/m/02vlwzm,Oscar,Auf Der Heide,1874-12-08,M,8727,Louis,,,,,,,,,,,,,,,,
A000339,Albert Austin,A000339,400989,293,Albert E. Austin,Q116257,kg:/m/02rgt_0,Albert,Austin,1877-11-15,M,8728,Elmer,,,,,,,,,,,,,,,,
A000340,Archibald Austin,A000340,400990,294,Archibald Austin,Q129440,kg:/m/02qnrf2,Archibald,Austin,1772-08-11,M,8729,,,,,,,,,,,,,,,,,
A000341,Richard Austin,A000341,400991,295,Richard W. Austin,Q2150818,kg:/m/0dllm6,Richard,Austin,1857-08-26,M,8731,Wilson,,,,,,,,,,,,,,,,
A000342,Warren Austin,A000342,400992,296,Warren Austin,Q953916,kg:/m/01zkyp,Warren,Austin,1877-11-12,M,,Robinson,,,,,,,,,,,,,,,,
