id,legislator_id,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
M001176,M001176,SenJeffMerkley,jeffmerkley,UCRoXttCJhMnLVCxCaa6VnNQ,29201047,SenatorJeffMerkley,senjeffmerkley,501463589
M001177,M001177,RepMcClintock,81125319109,UCMh04KC4LfIzKoXh2Xws_pw,50152441,McClintockCA04,,
M001180,M001180,RepMcKinley,RepMcKinley,UCt7BWx4b8ubXa-PneAu103g,240427862,RepDavidMcKinley,,
M001183,M001183,Sen_JoeManchin,JoeManchinIII,UCGyPK_ye2ptpzQgOjKIn7ag,234374703,SenatorJoeManchin,,
M001184,M001184,RepThomasMassie,RepThomasMassie,UCpmXOtvvXC3GE8o9VxYNK7g,975200486,repthomasmassie,,
M001185,M001185,RepSeanMaloney,RepSeanMaloney,UCNiVzzf4Vz-vCMPBcnjGuXQ,1072467470,,repseanpatrickmaloney,
M001186,M001186,RepMeijer,,,1334164871420796928,,,
M001188,M001188,RepGraceMeng,repgracemeng,UCHg516zJKbIBtXFAJ0nu3XQ,1051127714,,,
M001190,M001190,RepMullin,RepMullin,UCLQlm-cbGbJj9baZC6oFsag,1060370282,,,
M001194,M001194,RepMoolenaar,RepMoolenaar,UCnMvVN4a8roZu4crE0UW2DA,2696643955,,RepMoolenaar,
M001195,M001195,RepAlexMooney,CongressmanAlexMooney,UCw9CGkF4Re3areluI43TGyA,2964526557,,repalexmooney,
M001196,M001196,RepMoulton,CongressmanSethMoulton,UC5w5qn7nj5Ljy69LTV7a_fQ,3091316093,,repmoulton,
M001198,M001198,SenatorMarshall,,,1336344005588738052,,,
M001199,M001199,RepBrianMast,repbrianmast,,814103950404239360,repbrianmast,RepBrianMast,
M001202,M001202,RepStephMurphy,RepStephMurphy,,796183515998068736,RepStephMurphy,RepStephMurphy,
M001203,M001203,RepMalinowski,,,1080898026418384897,,,
M001204,M001204,RepMeuser,,,1080574793630527505,,,
M001205,M001205,RepCarolMiller,,,1081318716573470720,,,
M001206,M001206,RepJoeMorelle,,,1064595993222615040,,,
M001208,M001208,RepLucyMcBath,,,1082380458976051202,,,
M001210,M001210,RepGregMurphy,RepGregMurphy,,1173978070535024642,,,
M001211,M001211,RepMaryMiller,,,1343656635907125250,,,
M001212,M001212,RepBarryMoore,,,1339006078688825344,,,
M001213,M001213,RepBlakeMoore,,,1337452596093587462,,,
M001214,M001214,RepMrvan,,,1346205046036377601,,,
M001215,M001215,RepMMM,,,1345807954604412929,,,
N000002,N000002,RepJerryNadler,CongressmanNadler,UCQKj0qU1e7o2f5ftSh-c9aQ,40302336,congressmannadler,,
N000015,N000015,RepRichardNeal,reprichardneal,UCZVtTydu0-MSK6G12GaKA4g,442824717,RepRichardENeal,,
N000026,N000026,RepTroyNehls,,,1347318288850825217,,,
N000147,N000147,EleanorNorton,CongresswomanNorton,UChRrAXUGylfxJjbquC6aUjQ,23600262,EleanorHNorton,,
N000179,N000179,GraceNapolitano,RepGraceNapolitano,UCPWjmiAIR04oQ8QMoOWcDtA,161411080,RepGraceNapolitano,repgracenapolitano,
N000188,N000188,DonaldNorcross,DonaldNorcrossNJ,UC7kXK_PyDiOT8YrdP0jYZHw,3122099613,,donald_norcross,
N000189,N000189,RepNewhouse,RepNewhouse,UCllbsv_aoIaPS6W3aSonZlw,2930635215,,,
N000190,N000190,RepRalphNorman,RepRalphNorman,,880480631108644864,,,
N000191,N000191,RepJoeNeguse,,,1078749802765139968,,,
N000192,N000192,RepMarieNewman,,,1343578440977494018,,,
O000019,O000019,JayObernolte,,,272482466,,,
O000086,O000086,RepBurgessOwens,,,1344481217685692416,,,
O000171,O000171,RepOHalleran,repohalleran,,808416682972770304,,repohalleran,
O000172,O000172,RepAOC,,,1079104563280527364,,,
O000173,O000173,Ilhan,,,1082334352711790593,,,
O000174,O000174,SenOssoff,,,1356714265894408196,,,
P000034,P000034,FrankPallone,repfrankpallone,UCN0_wn9hs1LI3UKkji2PP2A,31801993,repfrankpallone,repfrankpallone,
P000048,P000048,RepPfluger,,,1341120751399809026,,,
P000096,P000096,BillPascrell,pascrell,UCIy1Ru8oA14aRjpq6L3i-EQ,74508260,RepPascrell,,
P000145,P000145,SenAlexPadilla,,,1351236267707654145,,,
P000197,P000197,SpeakerPelosi,NancyPelosi,UCxPeEcH0xaCK9nBK98EFhDg,15764644,nancypelosi,,
P000449,P000449,SenRobPortman,senrobportman,UCwunkd8Zs-yAWKQwnwBp7ew,18915145,SenRobPortman,senrobportman,370356159
P000523,P000523,RepDavidEPrice,RepDavidEPrice,UCtX7bSXBLF9ge-Q955n5Vqw,155669457,RepDavidPrice,repdavideprice,
P000593,P000593,RepPerlmutter,RepPerlmutter,UCJXuMAzxngpEvDdvlE6wS5g,20552026,RepPerlmutter,,
P000595,P000595,SenGaryPeters,SenGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,236511574,RepGaryPeters,sengarypeters,1640246681
P000597,P000597,ChelliePingree,ChelliePingree,UCLKaWFM7I84WcreDRhhhkVg,14984637,congresswomanpingree,,
P000599,P000599,CongBillPosey,bill.posey15,UCoUwUkDpe1ZYd6tiaZfiMuA,25086658,CongressmanPosey,,
P000601,P000601,CongPalazzo,stevenpalazzo,UCtPOy2vRbN2nD8dQPSOTXeA,299883942,CongressmanPalazzo,congressmanpalazzo,
P000603,P000603,SenRandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ,1298624375692894210,SenatorRandPaul,senatorrandpaul,541357095
P000604,P000604,RepDonaldPayne,DonaldPayneJr,UCTG_SeYsOgbngjv1Donyu0w,1155335864,,repdonaldpaynejr,
P000605,P000605,RepScottPerry,repscottperry,UCzgrU5PT_HHRgf5hXPen4dQ,18773159,RepScottPerry,repscottperry,519463466
P000607,P000607,RepMarkPocan,repmarkpocan,UCz5b47WER_u3dUGV_Zi70dQ,1206227149,repmarkpocan,repmarkpocan,1422301608
P000608,P000608,RepScottPeters,RepScottPeters,UCQK77QJxW7Xr-S3zqeMd-0g,1135486501,,repscottpeters,
P000609,P000609,USRepGaryPalmer,CongressmanGaryPalmer,UCYZfP-cNIvlJY3AcAc9OPpQ,2861616083,,repgarypalmer,1551536636
P000610,P000610,StaceyPlaskett,repstaceyplaskett,UC3V7biFZHDFHDFZy6cCSZUA,2724095695,,stacey_plaskett,
P000613,P000613,RepJimmyPanetta,RepJimmyPanetta,UCmw-aERG51C96edMDPN7fXQ,796736612554117120,,repjimmypanetta,
P000614,P000614,RepChrisPappas,,,1067748650485497862,,,
P000615,P000615,RepGregPence,,,1082369392229400576,,,
P000616,P000616,RepDeanPhillips,,,1061310112013434882,,,
P000617,P000617,RepPressley,,,1080584229510172678,,,
